_tid_,timestamp,value,seasonal,trend,resid,thr1,thr2
3397,3397.0,0.17,0.15,0.155,-0.135,-0.2616495891895856,0.2270711099211401
3398,3398.0,0.17,0.14,0.155,-0.125,-0.2616495891895856,0.2270711099211401
3399,3399.0,0.16,0.13,0.15,-0.12,-0.2616495891895856,0.2270711099211401
3400,3400.0,0.15,0.1,0.15,-0.1,-0.2616495891895856,0.2270711099211401
3401,3401.0,0.14,0.09,0.15,-0.0999999999999999,-0.2616495891895856,0.2270711099211401
3402,3402.0,0.14,0.0799999999999999,0.15,-0.0899999999999999,-0.2616495891895856,0.2270711099211401
3403,3403.0,0.14,0.07,0.15,-0.0799999999999999,-0.2616495891895856,0.2270711099211401
3404,3404.0,0.13,0.0699999999999999,0.15,-0.0899999999999999,-0.2616495891895856,0.2270711099211401
3405,3405.0,0.13,0.05,0.15,-0.07,-0.2616495891895856,0.2270711099211401
3406,3406.0,0.13,0.0499999999999999,0.15,-0.0699999999999999,-0.2616495891895856,0.2270711099211401
3407,3407.0,0.12,0.04,0.15,-0.07,-0.2616495891895856,0.2270711099211401
3408,3408.0,0.13,0.04,0.15,-0.06,-0.2616495891895856,0.2270711099211401
3409,3409.0,0.13,0.04,0.15,-0.06,-0.2616495891895856,0.2270711099211401
3410,3410.0,0.13,0.0399999999999999,0.15,-0.0599999999999999,-0.2616495891895856,0.2270711099211401
3411,3411.0,0.13,0.0399999999999999,0.15,-0.0599999999999999,-0.2616495891895856,0.2270711099211401
3412,3412.0,0.12,0.03,0.15,-0.06,-0.2616495891895856,0.2270711099211401
3413,3413.0,0.12,0.0199999999999999,0.15,-0.0499999999999999,-0.2616495891895856,0.2270711099211401
3414,3414.0,0.12,0.0199999999999999,0.15,-0.0499999999999999,-0.2616495891895856,0.2270711099211401
3415,3415.0,0.13,0.0199999999999999,0.15,-0.0399999999999999,-0.2616495891895856,0.2270711099211401
3416,3416.0,0.12,0.01,0.15,-0.04,-0.2616495891895856,0.2270711099211401
3417,3417.0,0.12,0.0099999999999999,0.15,-0.0399999999999999,-0.2616495891895856,0.2270711099211401
3418,3418.0,0.11,0.0,0.15,-0.0399999999999999,-0.2616495891895856,0.2270711099211401
3419,3419.0,0.11,0.0,0.15,-0.0399999999999999,-0.2616495891895856,0.2270711099211401
3420,3420.0,0.12,0.0,0.15,-0.03,-0.2616495891895856,0.2270711099211401
3421,3421.0,0.13,0.01,0.15,-0.03,-0.2616495891895856,0.2270711099211401
3422,3422.0,0.12,0.01,0.15,-0.04,-0.2616495891895856,0.2270711099211401
3423,3423.0,0.12,0.0,0.15,-0.03,-0.2616495891895856,0.2270711099211401
3424,3424.0,0.11,-0.01,0.15,-0.0299999999999999,-0.2616495891895856,0.2270711099211401
3425,3425.0,0.1,-0.02,0.15,-0.0299999999999999,-0.2616495891895856,0.2270711099211401
3426,3426.0,0.1,-0.02,0.15,-0.0299999999999999,-0.2616495891895856,0.2270711099211401
3427,3427.0,0.11,-0.0199999999999999,0.15,-0.02,-0.2616495891895856,0.2270711099211401
3428,3428.0,0.1,-0.02,0.15,-0.0299999999999999,-0.2616495891895856,0.2270711099211401
3429,3429.0,0.1,-0.03,0.15,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3430,3430.0,0.09,-0.04,0.15,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
3431,3431.0,0.08,-0.04,0.15,-0.0299999999999999,-0.2616495891895856,0.2270711099211401
3432,3432.0,0.09,-0.04,0.15,-0.0199999999999999,-0.2616495891895856,0.2270711099211401
